Pin name,Power,Ground,Control,Arduino,Port,Analog,Serial,PWM,Misc,Misc2
Right,,,,,,,,,,
D16,,,,D16,PA23,,TX,X,,
D17,,,,D17,PA22,,RX,X,,
SCL,,,,D8,PA09,,SCL,X,,
SDA,,,,D0,PA08,,SDA,X,,
3.3V,3.3V,,,,,,,,,
GND,,GND,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Left,,,,,,,,,,
D1,,,,D1,PA02,A0,,,DAC,
D2,,,,D2,PA06,A1,MOSI,X,,
D3,,,,D3,PA05,A2,MISO,X,,
D4,,,,D4,PA07,A3,SCK,X,,
D5,,,,D5,PA10,A4,,X,,
D6,,,AREFB,D6,PA04,A5,,X,,
D7,,,,D7,,,,,,
,,,,,,,,,,
Right,,,,,,,,,,
SWDIO,,,,D23,PA30,,,X,,
SWCLK,,,,D22,PA31,,,X,,
RESET,,,CONTROL,,,,,,,
GND,,GND,,,,,,,,
D13,,,,D13,,,,,LED,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
EOF,,,,,,,,,,
