Name,Power,GND,Control,Arduino,Port,ADC,Ext. Interupt,Serial,Serial Com,Timer,PTC,Misc
Name,Power,GND,Control,Arduino,Port,ADC,Ext. Interupt,Serial,Serial Com,Timer,PTC,Misc
Right,LiPo,,,,,,,,,,,
CHG,,,,,,,,,,,,
GND,,GND,,,,,,,,,,
MISO,,,,,,,,,,,,
MOSI,,,,,,,,,,,,
SCK,,,,,,,,,,,,
A4,,,,A4,PA05,AIN5,EXTIN5,,SER0:1,TC0:1,PTC:Y3,
A3,,,,A3,PA04,AIN4,EXTINT4,,SER0:0 ,TCC0:0,PTC:Y2,
A2,,,,A2,PB09,AIN3,EXTINT9,,SER4:1,TC4:1,PTC:Y15,
A1,,,,A1,PB08,AIN2,EXTINT8,,SER4:0,TC4:0,PTC:Y14,
A0,,,,A0,PA02,AIN0,EXTINT2,,,,PTC:Y0,DAC
ANT,,,,,,,,,,,,
,,,,,,,,,,,,
Left,,,Switch,,,,,,,,,
SWITCH,,,,,,,,,,,,
RAW,RAW: 3.5V-6.0V,,,,,,,,,,,
3V3,3.3V Output,,,,,,,,,,,
GND,,GND,,,,,,,,,,
D9,,,,D9 ~,PA07,AIN7,EXTINT7,,SER0:3,TCC1:1/0:3,PTC:Y5,I2S/SD[0]
D4,,,,D4 ~,PA08,AIN16,NMI,,SER0:0/2:0*,TCC0:0/1:2,PTC:X0,I2S/SD[1]
D3,,,,D3 ~,PA09,AIN17,EXTINT9,,SER0:1/2:1*,TCC0:1/1:3,PTC:X1,I2S/MCK[0]
D2,,,,D2,PA14,,EXTINT14,,SER2:2/4:2*,TC3:0/TCC0:4,,XIN
D5,,,,D5 ~,PA15,,EXTINT15,,SER2:3/4:3,TC3:1/TCC0:5,,XOUT
/RST,,,RESET,,,,,,,,,
1/TX,,,,D1,PA10,AIN18,EXTINT10,TX0,SER0:2/2:2,TCC1:0/0:2,PTC:X2,I2S/SCK[0]
0/RX,,,,D0,PA11,AIN19,EXTINT11,RXI,SER0:3/2:3,TCC1:1/0:3,PTC:X3,I2S/FS[0]
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Text,,,,,,,,,,,,
SparkFun Pro RF,,,,,,,,,,,,
Power,RAW: 3.5V-6.0V,VCC: 600mA @3.3V,Each pin is 3.3V tolerant and can source/sink no more than 7mA/10mA,Each cluster of I/O pins can source 46mA and sink 65mA.  Clusters are defined as Yellow Pink Green Blue Red and Orange outlines.,,,,,,,,
SamD21G18,VCC:1.62-3.63V,Arm Cortex-M0 + (32-bit),Flash Memory: 256KB,SRAM: 32KB,ADC: 12-bit,48MHz,RTC ,USB 2.1 with USB host capability,,,,
LEDs,Power: Red,D13 (PIN_LED_13): Blue,TX (PIN_LED_TXL): Green,RX (PIN_LED_RXL): Yellow,,,,,,,,
Serial,USB: SerialUSB,Hardware Serial: Serial1,Only Ports with * can be configured to do I2C,To use USB host set PIN_USB_HOST_ENABLE high,,,,,,,,
Micro B USB,,,,,,,,,,,,
Reset Button,,,,,,,,,,,,
SJ1,disconnect to disconnect power LED,,,,,,,,,,,
Power LED,User (D13) LED,TX LED,RX LED,CHG LED,,,,,,,,
8-bit PWM pins marked with ~,,,,,,,,,,,,
Qwiic Enabled,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
EOF,,,,,,,,,,,,
